time,height,bme_temp,bme_press,bme_hum,bmp_temp,bmp_press,voc_raw,accel_x,accel_y,accel_z,lin_accel_x,lin_accel_y,lin_accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,euler_x,euler_y,euler_z,quat_w,quat_x,quat_y,quat_z,year,month,day,hour,minute,second,lon,lat,alt,velN,velE,velD,pump_feedback,valven_feedback,valve1_feedback,valve2_feedback,press_1,temp_1,press_2,temp_2,press_3,temp_3,press_4,temp_4
10524,1008.19421,42.03,909.30488,23.91113,42.06000,908.3653,27889,0.03,-0.95,9.82,-0.12,-0.01000,0.06000,-0.18750,0.0,0.1875,-13.0625,-4.0,-15.6875,67.1875,0.875,-5.50000,0.83191,-0.04443,0.01990,-0.55280,2020,8.0,2.0,2.0,55.0,24,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-40.50807,39.37600,-44.71670,38.20000,46.82102,37.71,-34.19513,38.69000
10525,1008.27411,42.03,909.29445,23.91113,42.06000,908.3575,27886,0.06,-0.96,9.77,-0.09,-0.02000,0.01000,-0.12500,-0.1875,-0.75,-13.0625,-2.875,-16.0625,67.5625,0.9375,-5.50000,0.83014,-0.04449,0.01978,-0.55542,2020,8.0,2.0,2.0,55.0,25,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-43.66455,39.37600,-40.50807,38.20000,47.87318,37.71,-37.35160,38.69000
10527,1008.47333,42.03,909.24246,23.91113,42.06000,908.3379,27886,0.05,-0.99,9.78,-0.1,-0.05000,0.02000,-0.18750,-0.25,0.375,-13.0625,-3.5625,-16.875,67.5625,0.9375,-5.50000,0.83002,-0.04449,0.01978,-0.55560,2020,8.0,2.0,2.0,55.0,26,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-40.50807,39.37600,-46.82102,38.20000,48.92533,37.71,-34.19513,38.69000
10528,1008.35986,42.03,909.28773,23.91113,42.06000,908.349,27877,0.08,-1.01,9.8,-0.08,-0.07000,0.04000,-0.12500,0.125,-0.625,-13.375,-4.0,-18.25,67.625,0.9375,-5.43750,0.82977,-0.04449,0.01978,-0.55603,2020,8.0,2.0,2.0,55.0,27,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-41.56023,39.37600,-40.50807,38.20000,48.92533,37.71,-33.14297,38.78800
10529,1008.36975,42.03,909.27211,23.91113,42.06000,908.3481,27881,0.05,-0.99,9.83,-0.1,-0.05000,0.07000,-0.18750,0.125,0.3125,-13.0625,-2.875,-16.875,67.5625,0.9375,-5.50000,0.83002,-0.04449,0.01978,-0.55560,2020,8.0,2.0,2.0,55.0,28,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-40.50807,39.37600,-46.82102,38.20000,48.92533,37.71,-36.29944,38.69000
10530,1008.242,42.03,909.27383,23.91113,42.07000,908.3638,27881,0.09,-0.99,9.8,-0.06,-0.05000,0.04000,-0.06250,-0.0625,-0.8125,-13.0,-3.5625,-16.375,67.75,0.9375,-5.43750,0.82922,-0.04456,0.01971,-0.55682,2020,8.0,2.0,2.0,55.0,29,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-43.66455,39.37600,-44.71670,38.20000,48.92533,37.71,-37.35160,38.69000
10531,1008.4599,42.03,909.25297,23.91113,42.07000,908.3423,27886,0.04,-0.97,9.78,-0.11,-0.03000,0.02000,-0.12500,0.125,0.5625,-13.0,-3.5625,-16.375,67.625,0.9375,-5.43750,0.82971,-0.04449,0.01971,-0.55603,2020,8.0,2.0,2.0,55.0,30,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-41.56023,39.37600,-46.82102,38.20000,48.92533,37.71,-36.29944,38.78800
10532,1008.60046,42.03,909.26688,23.89844,42.06000,908.3253,27886,0.1,-0.97,9.8,-0.05,-0.04000,0.08000,0.06250,0.0,-0.125,-13.25,-3.5625,-16.75,67.4375,0.9375,-5.50000,0.83051,-0.04449,0.01978,-0.55487,2020,8.0,2.0,2.0,55.0,31,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-43.66455,39.37600,-44.71670,38.20000,46.82102,37.71,-34.19513,38.69000
10533,1008.56989,42.03,909.26168,23.89941,42.06000,908.3284,27892,0.08,-0.96,9.8,-0.07,-0.02000,0.04000,0.00000,0.125,0.5625,-12.5625,-4.0,-16.75,67.5,0.9375,-5.50000,0.83038,-0.04449,0.01978,-0.55511,2020,8.0,2.0,2.0,55.0,32,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-41.56023,39.37600,-47.87318,38.20000,48.92533,37.71,-36.29944,38.69000
10534,1008.565,42.03,909.2666,23.89844,42.06000,908.3288,27892,0.07,-0.97,9.81,-0.08,-0.03000,0.05000,-0.18750,-0.125,-0.0625,-13.0,-2.875,-16.5,67.5,0.9375,-5.50000,0.83032,-0.04449,0.01978,-0.55518,2020,8.0,2.0,2.0,55.0,33,0.0000000,0.0000000,-17.0,0.0,0.00000,0.0,0.0,0,0,0,-41.56023,39.37600,-46.82102,38.20000,46.82102,37.71,-37.35160,38.69000
