Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-5.667221E-07,908.10,0,47.2, -,9.276546
0.05,5.965422,907.90,5.666667,47.2, -,9.276546
0.10,8.950353,907.80,8.523809,47.2, -,9.276546
0.15,17.9031,907.50,17.04762,47.2, -,9.276546
0.20,20.88728,907.40,19.90476,47.2, -,9.276546
0.25,23.87354,907.30,22.76191,47.2, -,9.276546
0.30,35.81579,906.90,34.14286,47.2, -,9.276546
0.35,44.77756,906.60,42.66667,47.2, -,9.276546
0.40,53.7399,906.30,51.19048,47.2, -,9.276546
0.45,59.71674,906.10,56.90476,47.2, -,9.276546
0.50,74.6626,905.60,71.14286,47.2, -,9.276546
0.55,98.58952,904.80,93.95238,47.2, -,9.257098
0.60,113.5528,904.30,108.1905,47.2, -,9.257098
0.65,131.5168,903.70,125.2857,47.2, -,9.257098
0.70,146.4948,903.20,139.5714,47.2, -,9.257098
0.75,182.4698,902.00,173.8095,47.2, -,9.257098
0.80,209.4769,901.10,199.5238,47.2, -,9.257098
0.85,236.504,900.20,225.2857,47.2, -,9.257098
0.90,266.5611,899.20,253.9048,47.2, -,9.257098
0.95,314.7098,897.60,299.7619,47.2, -,9.257098
1.00,350.8647,896.40,334.1905,47.2, -,9.257098
1.05,393.0974,895.00,374.4286,47.2, -,9.257098
1.10,420.2756,894.10,394.6667,47.2, -,9.257098
1.15,435.3837,893.60,406.1905,47.2, -,9.257098
1.20,435.3837,893.60,397.6667,47.2, -,9.257098
1.25,435.3837,893.60,394.8095,47.2, -,9.257098
1.30,432.3604,893.70,389.0952,47.2, -,9.257098
1.35,444.4515,893.30,389.2381,47.2, -,9.257098
1.40,471.6697,892.40,406.619,47.2, -,9.257098
1.45,507.997,891.20,432.7143,47.2, -,9.257098
1.50,553.4615,889.70,470.2857,47.2, -,9.257098
1.55,617.2172,887.60,516.7619,47.2, -,9.257098
1.60,684.1374,885.40,557.6667,47.2, -,9.257098
1.65,751.1942,883.20,607.2857,47.2, -,9.257098
1.70,821.4431,880.90,657.0952,47.2, -,9.257098
1.75,873.4623,879.20,692.3333,47.2, -,9.257098
1.80,891.8425,878.60,675.619,47.2, -,9.257098
1.85,910.231,878.00,667.4286,47.2, -,9.257098
1.90,928.6296,877.40,659.1905,47.2, -,9.257098
1.95,953.1795,876.60,653.9524,47.2, -,9.257098
2.00,999.2567,875.10,652,47.2, -,9.257098
2.05,1066.951,872.90,682.0476,47.2, -,9.257098
2.10,1134.785,870.70,706.4286,47.2, -,9.257098
2.15,1199.666,868.60,742.3333,47.2, -,9.257098
2.20,1255.379,866.80,781,47.2, -,9.257098
2.25,1298.775,865.40,822.3333,47.2, -,9.257098
2.30,1314.287,864.90,837.0952,47.2, -,9.257098
2.35,1336.018,864.20,860.6667,47.2, -,9.257098
2.40,1373.302,863.00,884.6667,47.2, -,9.257098
2.45,1438.651,860.90,921,47.2, -,9.257098
2.50,1510.373,858.60,954.6667,47.2, -,9.257098
2.55,1569.737,856.70,967.9048,47.2, -,9.257098
2.60,1601.025,855.70,937,47.2, -,9.257098
2.65,1613.549,855.30,885.1905,47.2, -,9.257098
2.70,1629.21,854.80,836.2381,47.2, -,9.257098
2.75,1679.374,853.20,817.0952,47.2, -,9.257098
2.80,1735.9,851.40,821.4286,47.2, -,9.257098
2.85,1805.12,849.20,869.8095,47.2, -,9.257098
2.90,1865.018,847.30,909.3333,47.2, -,9.257098
2.95,1921.863,845.50,945.9524,47.2, -,9.257098
3.00,1953.486,844.50,952.6667,47.2, -,9.257098
3.05,1972.474,843.90,926.8571,47.2, -,9.257098
3.10,2000.978,843.00,889.5238,47.2, -,9.257098
3.15,2016.823,842.50,840,47.2, -,9.257098
3.20,2054.885,841.30,814.4286,47.2, -,9.257098
3.25,2124.777,839.10,827.9524,47.2, -,9.257098
3.30,2162.961,837.90,823,47.2, -,9.257098
3.35,2153.411,838.20,799.1429,47.2, -,9.257098
3.40,2131.137,838.90,757.2381,47.2, -,9.257098
3.45,2156.596,838.10,745.9524,47.2, -,9.257098
3.50,2182.072,837.30,708,47.2, -,9.257098
3.55,2182.072,837.30,639.7143,47.2, -,9.257098
3.60,2159.778,838.00,561.9524,47.2, -,9.257098
3.65,2137.5,838.70,510.9048,47.2, -,9.257098
3.70,2137.5,838.70,499,47.2, -,9.257098
3.75,2150.229,838.30,496.2381,47.2, -,9.257098
