# 0 m/s Windspeed - 84° Launch Angle (Up to date)
# 1055 data points written for 11 variables.
# Simulation warnings:
#   Despliegue del sistema de recuperación con velocidad alta (23.2 m/s):  "SRAD Drogue Ringsail Parachute + Deployment Bag"
#   Despliegue del sistema de recuperación con velocidad alta (22.5 m/s):  "SRAD Main Ringsail Parachute + Deployment Bag"
#
# Tiempo (s),Altitud (m),Velocidad vertical (m/s),Velocidad total (m/s),Aceleración vertical (m/s²),Aceleración total (m/s²),Velocidad horizontal (m/s),Aceleración horizontal (m/s²),Tasa de rotación (°/s),Tasa de cabeceo (°/s),Tasa de guiñada (°/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0,0
0.045,0,0.011,0.011,7.037,7.256,0.003,1.769,0,0,0
0.055,7.499e-4,0.169,0.171,24.587,24.851,0.03,3.613,0,0,0
0.065,0.004,0.502,0.508,42.144,42.496,0.075,5.459,0,0,0
0.075,0.011,1.012,1.021,59.708,60.154,0.139,7.304,0,0,0
0.078,0.015,1.199,1.209,64.979,65.453,0.161,7.858,0,0,0
# Event LIFTOFF occurred at t=0.083 seconds
0.083,0.021,1.496,1.509,67.304,67.675,0.197,7.074,0,0,0
0.089,0.032,1.962,1.977,70.632,71.021,0.246,7.424,0,0,0
0.099,0.056,2.693,2.712,75.567,75.983,0.323,7.942,0,0,0
0.109,0.086,3.473,3.496,80.505,80.949,0.405,8.461,0,0,0
0.119,0.125,4.303,4.331,85.448,85.919,0.492,8.981,0,0,0
0.125,0.151,4.802,4.833,88.293,88.779,0.545,9.28,0,0,0
0.134,0.196,5.559,5.594,87.304,87.785,0.624,9.176,0,0,0
0.144,0.256,6.427,6.466,86.157,86.631,0.716,9.055,0,0,0
0.154,0.325,7.283,7.327,85.008,85.476,0.806,8.935,0,0,0
0.157,0.35,7.569,7.615,84.62,85.086,0.836,8.894,0,0,0
0.162,0.389,7.996,8.045,84.355,84.82,0.881,8.866,0,0,0
0.17,0.452,8.636,8.687,83.958,84.421,0.948,8.824,0,0,0
0.18,0.543,9.473,9.529,83.435,83.895,1.036,8.769,0,0,0
0.19,0.642,10.304,10.365,82.911,83.368,1.123,8.714,0,0,0
0.2,0.753,11.159,11.225,82.368,82.822,1.213,8.657,0,0,0
0.21,0.868,11.983,12.054,82.486,82.94,1.3,8.67,0,0,0
0.22,0.992,12.809,12.884,82.603,83.058,1.386,8.682,0,0,0
0.23,1.125,13.635,13.715,82.72,83.176,1.473,8.694,0,0,0
0.24,1.265,14.463,14.547,82.837,83.293,1.56,8.707,0,0,0
0.25,1.414,15.292,15.381,82.954,83.411,1.647,8.719,0,0,0
0.26,1.571,16.122,16.215,83.07,83.528,1.735,8.731,0,0,0
0.27,1.736,16.954,17.051,83.186,83.645,1.822,8.743,0,0,0
0.28,1.91,17.786,17.888,83.302,83.761,1.91,8.755,0,0,0
0.29,2.092,18.62,18.726,83.418,83.878,1.997,8.768,0,0,0
0.3,2.282,19.454,19.566,83.534,83.994,2.085,8.78,0,0,0
0.31,2.481,20.29,20.406,83.65,84.111,2.173,8.792,0,0,0
0.32,2.688,21.127,21.248,83.765,84.227,2.261,8.804,0,0,0
0.33,2.904,21.966,22.091,83.88,84.343,2.349,8.816,0,0,0
0.34,3.127,22.805,22.935,83.996,84.458,2.437,8.828,0,0,0
0.35,3.36,23.645,23.78,84.11,84.574,2.525,8.84,0,0,0
0.36,3.6,24.487,24.626,84.225,84.689,2.614,8.852,0,0,0
0.37,3.849,25.33,25.474,84.34,84.804,2.702,8.864,0,0,0
0.38,4.107,26.174,26.322,84.454,84.919,2.791,8.876,0,0,0
# Event LAUNCHROD occurred at t=0.39 seconds
0.39,4.373,27.019,27.172,84.462,85.04,2.88,9.899,0,0,0
0.405,4.788,28.287,28.449,84.633,85.212,3.029,9.915,0,0.003,1.32e-5
0.417,5.133,29.304,29.472,84.77,85.349,3.148,9.928,0,0.006,2.153e-5
0.435,5.675,30.831,31.01,84.898,85.478,3.326,9.939,0,0.012,1.612e-5
0.462,6.538,33.126,33.32,85.089,85.67,3.595,9.955,0,0.025,2.25e-5
0.502,7.949,36.577,36.795,85.373,85.954,3.999,9.98,0,0.054,4.027e-6
0.552,9.885,40.855,41.102,85.717,86.3,4.498,10.012,0,0.106,-4.761e-5
0.602,12.035,45.149,45.425,86.055,86.64,5,10.048,0,0.18,-1.442e-4
0.652,14.4,49.46,49.765,86.386,86.973,5.503,10.09,0,0.276,-2.453e-4
0.666,15.076,50.627,50.94,86.474,87.062,5.64,10.102,0,0.307,-2.512e-4
0.686,16.119,52.379,52.704,86.612,87.201,5.844,10.123,0,0.355,-2.342e-4
0.717,17.75,55.013,55.356,86.816,87.408,6.152,10.158,0,0.436,-3.013e-4
0.762,20.347,58.976,59.346,87.116,87.713,6.617,10.219,0,0.572,-4.58e-4
0.812,23.404,63.34,63.74,87.438,88.042,7.13,10.299,0,0.743,-8.072e-4
0.862,26.681,67.719,68.15,87.75,88.364,7.647,10.398,0,0.93,-0.001
0.912,30.177,72.114,72.576,88.053,88.679,8.17,10.517,0,1.126,-0.001
0.962,33.878,76.508,77.001,88.346,88.986,8.697,10.658,0,1.321,-0.001
1.012,37.814,80.927,81.452,88.42,89.077,9.233,10.798,0,1.504,-0.001
1.062,41.971,85.35,85.908,88.484,89.16,9.777,10.96,0,1.659,-0.001
1.112,46.349,89.775,90.368,88.536,89.234,10.33,11.14,0,1.77,-0.002
1.162,50.948,94.203,94.831,88.577,89.299,10.891,11.333,0,1.82,-0.012
1.197,54.3,97.304,97.957,88.6,89.34,11.29,11.472,0,-1.811,-0.004
1.247,59.276,101.734,102.424,88.611,89.376,11.869,11.668,0,-1.728,-0.001
1.297,64.473,106.165,106.893,88.614,89.403,12.457,11.852,0,-1.555,-3.89e-4
1.347,69.892,110.595,111.363,88.609,89.42,13.054,12.013,0,-1.297,4.63e-5
1.397,75.533,115.026,115.834,88.599,89.427,13.658,12.138,0,-0.967,2.581e-4
1.447,81.395,119.455,120.304,88.585,89.423,14.267,12.217,0,-0.59,5.812e-4
1.497,87.478,123.884,124.774,88.567,89.409,14.878,12.243,0,-0.202,7.4e-4
1.507,88.722,124.77,125.668,88.563,89.405,15.001,12.242,0,-0.127,6.871e-4
1.522,90.603,126.098,127.009,88.53,89.372,15.184,12.232,0,-0.017,7.266e-4
1.544,93.463,128.089,129.019,88.481,89.319,15.459,12.209,0,0.136,7.272e-4
1.578,97.836,131.074,132.032,88.405,89.237,15.871,12.155,0,0.335,0.001
1.628,104.5,135.492,136.49,88.287,89.105,16.476,12.041,0,0.533,0.004
1.678,111.385,139.903,140.941,88.162,88.962,17.074,11.904,0,-0.581,0.008
1.728,118.49,144.308,145.385,88.025,88.808,17.666,11.766,0,-0.464,6.116e-4
1.778,125.816,148.705,149.821,87.874,88.644,18.252,11.656,0,-0.188,3.332e-4
1.828,133.361,153.095,154.249,87.705,88.469,18.833,11.599,0,0.206,-7.072e-4
1.878,141.125,157.475,158.667,87.517,88.284,19.413,11.612,0,0.643,-3.452e-4
1.9,144.571,159.378,160.587,87.428,88.2,19.665,11.642,0,0.825,-6.48e-4
1.933,149.817,162.227,163.461,87.222,88.004,20.046,11.703,0,1.064,-9.673e-4
1.982,157.86,166.487,167.76,86.897,87.7,20.622,11.841,0,1.299,0.002
2.032,166.293,170.824,172.136,86.55,87.379,21.218,12.011,0,-1.33,0.01
2.082,174.942,175.142,176.497,86.192,87.046,21.823,12.167,0,-1.129,0.004
2.132,183.807,179.443,180.84,85.829,86.701,22.434,12.265,0,-0.734,0.002
2.182,192.886,183.725,185.165,85.465,86.342,23.048,12.272,0,-0.244,0.003
2.206,197.402,185.811,187.273,85.288,86.162,23.347,12.237,0,-0.011,0.002
2.243,204.27,188.932,190.425,84.994,85.857,23.794,12.139,0,0.283,0.001
2.293,213.823,193.172,194.707,84.59,85.429,24.397,11.944,0,0.495,-3.272e-5
2.343,223.587,197.391,198.967,84.177,84.99,24.988,11.731,0,-0.421,-0.004
2.393,233.562,201.589,203.205,83.745,84.539,25.57,11.563,0,-0.077,-0.005
2.423,239.717,204.126,205.766,83.471,84.261,25.92,11.508,0,0.215,-0.005
2.469,249.094,207.906,209.581,82.616,83.407,26.443,11.454,0,0.665,-0.003
2.519,259.592,212.013,213.727,81.654,82.459,27.016,11.497,0,1.017,8.379e-4
2.569,270.295,216.071,217.826,80.672,81.501,27.593,11.592,0,-1.072,0.013
2.619,281.199,220.08,221.876,79.683,80.531,28.175,11.657,0,-0.8,0.005
2.637,285.28,221.55,223.361,79.317,80.169,28.39,11.658,0,-0.633,0.004
2.665,291.454,223.74,225.575,78.701,79.554,28.713,11.616,0,-0.35,0.007
2.706,300.827,226.994,228.864,77.781,78.623,29.193,11.473,0,0.061,0.009
2.756,312.273,230.856,232.766,76.68,77.493,29.761,11.195,0,0.366,0.017
2.806,323.911,234.662,236.612,75.574,76.353,30.312,10.879,0,-0.324,0.001
2.856,335.738,238.413,240.401,74.451,75.205,30.849,10.626,0,0.048,7.208e-4
2.906,347.752,242.107,244.132,73.301,74.05,31.377,10.509,0,0.544,0.006
